AGE,REF,PICKUP_DATE,DROPOFF_DATE,ORIGIN,DESTINATION,TRUCK_TYPE,LOAD_TYPE,HEIGHT,LENGTH,WEIGHT,SIZE,DISTANCE,COMPANY,FUEL,BROKER,DOT,EMAIL,CONTACT,PHONE
1713910871153,Ref#,04/24/2024,04/25/2024,"Greencastle, IN 46135","Sainte Geneviev, MO 63670",Flatbed,Flatbed,,48',"10,000 lbs",Truckload,269 mi,Worldwide Express Globaltranz,$166,Worldwide Express Globaltranz,,kccs@wwex.com,Worldwide Express Globaltranz,tel:+18889567447
1713910868171,Ref#,04/28/2024,04/29/2024,"Aurora, IL 60506","St. Cloud, MN 56301",Reefer,Reefer,,,"41,187 lbs",Truckload,463 mi,Fortune Logistics,$286,Fortune Logistics,,region2@fortunelogistics.us,Fortune Logistics,tel:+15078328200
1713910862610,Ref#9264507,04/24/2024,04/25/2024,"Salt Lake City, UT 84104","Lake City, CO 81235",Van,Van,,53',"5,325 lbs",Truckload,311 mi,TQL,$192,TQL,2223295,,,"tel:+18005803101,8"
1713910862386,Ref#9264504,04/24/2024,04/25/2024,"Salt Lake City, UT 84104","Lake City, CO 81235",Van,Van,,53',"5,325 lbs",Truckload,311 mi,TQL,$192,TQL,2223295,,,"tel:+18005803101,8"
1713910862331,Ref#,04/25/2024,04/26/2024,"East Chicago, IN 46312","Carter Lake, IA 51510",Flatbed,Flatbed,,,"47,770 lbs",Truckload,483 mi,Trident Transport,$298,Trident Transport,,sierra.wolfenbarger@tridenttransport.com,Trident Transport,tel:+14233254186
1713910856828,Ref#543146,04/29/2024,,"Norman, AR","Houston, TX",Reefer / Van,Reefer / Van,,48',"43,000 lbs",Truckload,656 mi,"ST Freight, LLC",$406,"ST Freight, LLC",326053,dispatch@stfreight.com,Dispatch,tel:+19206868200
1713910856173,Ref#,04/26/2024,04/29/2024,"Chicago, IL 60612","Carrollton, TX 75006",Van,Van,,,"40,000 lbs",Truckload,917 mi,Live Logistics Corp,$567,Live Logistics Corp,,carriersales@omnilogistics.com,Live Logistics Corp,
1713910848883,Ref#,05/01/2024,,"Spokane, WA 99201","Del Rey, CA 93616",Any,Any,,,"6,510 lbs",Truckload,1381 mi,Newtrul,$854,Newtrul,,,Click Here To View Broker,tel:+12232232233
1713910847445,Ref#,05/03/2024,,"Boise, ID 83702","Dinuba, CA 93618",Reefer,Reefer,,,"42,387 lbs",Truckload,749 mi,Newtrul,$463,Newtrul,,,Click Here To View Broker,tel:+12232232233
1713910847284,Ref#,05/03/2024,,"Boise, ID 83702","Dinuba, CA 93618",Reefer,Reefer,,,"42,815 lbs",Truckload,749 mi,Newtrul,$463,Newtrul,,,Click Here To View Broker,tel:+12232232233
1713910847035,Ref#,04/24/2024,04/26/2024,"Cicero, IL 60804","Gering, NE 69341",Flatbed / Step Deck,Flatbed / Step Deck,,,"46,000 lbs",Truckload,907 mi,Worldwide Express Globaltranz,$560,Worldwide Express Globaltranz,,kccs@wwex.com,Worldwide Express Globaltranz,tel:+18889567447
1713910846284,Ref#,04/30/2024,,"Naples, ID 83847","Arlington, TX 76015",Flatbed / Step Deck,Flatbed / Step Deck,,,"47,500 lbs",Truckload,1886 mi,"OTBX Express, LLC",$1166,"OTBX Express, LLC",,ahanner@otbxexpress.com,Alex,tel:+18009101609
1713910846100,Ref#,04/29/2024,,"Naples, ID 83847","Arlington, TX 76018",Flatbed / Step Deck,Flatbed / Step Deck,,,"47,500 lbs",Truckload,1888 mi,"OTBX Express, LLC",$1167,"OTBX Express, LLC",,ahanner@otbxexpress.com,Alex,tel:+18009101609
1713910844453,Ref#,04/24/2024,04/26/2024,"Brampton, ON","Glenford, OH 43739",Flatbed,Flatbed,,48',"48,000 lbs",Truckload,304 mi,Jakebrake Logistics LLC,$188,Jakebrake Logistics LLC,,book@jakebrakelogistics.com,Jade,tel:+14024477663
1713910840585,Ref#3220661,04/24/2024,04/25/2024,"Harahan, LA 70123","Dripping Springs, TX 78620",Flatbed / Step Deck,Flatbed / Step Deck,,,"28,000 lbs",Truckload,522 mi,Landstar Inway,$322,Landstar Inway,2212563,,SUJ,tel:+12092248499
1713910838319,Ref#,04/24/2024,04/24/2024,"Channahon, IL 60410","Byron Center, MI 49315",Power Only,Power Only,,,"10,000 lbs",Truckload,195 mi,Trident Transport,$120,Trident Transport,,david.gross@tridenttransport.com,Trident Transport,tel:+14237137198
1713910835075,Ref#,04/30/2024,,"Raleigh, NC 27603","San Diego, CA 92101",Van,Van,,"4'5""","35,000 lbs",Truckload,2551 mi,King of Freight LLC,$1577,King of Freight LLC,,isaiah@kingoffreight.com,Isaiah,"tel:+13165308365,8365"
1713910834715,Ref#,04/24/2024,,"Klamath Falls, OR 97601","Sherwood, OR 97140",Van,Van,,"4'5""","22,000 lbs",Truckload,274 mi,King of Freight LLC,$169,King of Freight LLC,,isaiah@kingoffreight.com,Isaiah,"tel:+13165308365,8365"
1713910833613,Ref#,04/26/2024,04/29/2024,"Turner, OR 97392","Queen Creek, AZ 85142",Van,Van,,,"18,123 lbs",Truckload,1281 mi,Emerge Freight,$792,Emerge Freight,,westcoast@emergemarket.com,Tanner,tel:+16026351340
1713910831652,Ref#,04/29/2024,04/30/2024,"Rochelle, IL 61068","Minnetonka, MN 55305",Reefer,Reefer,,,"40,800 lbs",Truckload,370 mi,Fortune Logistics,$228,Fortune Logistics,,region2@fortunelogistics.us,Fortune Logistics,tel:+15078328200
1713910831201,Ref#,04/25/2024,,"Clatskanie, OR 97016","Woodinville, WA 98072",Flatbed,Flatbed,,48',"48,000 lbs",Truckload,160 mi,Shipping Connections,$98,Shipping Connections,2228277,,SCI 182,tel:+18662712070
1713910829832,Ref#,05/02/2024,,"Puyallup, WA 98371","Dinuba, CA 93618",Reefer,Reefer,,,"43,725 lbs",Truckload,925 mi,Newtrul,$572,Newtrul,,,Click Here To View Broker,tel:+12232232233
1713910829673,Ref#,05/01/2024,,"Woodburn, OR 97071","Dinuba, CA 93618",Reefer,Reefer,,,"44,270 lbs",Truckload,752 mi,Newtrul,$465,Newtrul,,,Click Here To View Broker,tel:+12232232233
1713910829515,Ref#,04/26/2024,,"Portland, OR 97201","Dinuba, CA 93618",Reefer,Reefer,,,"43,239 lbs",Truckload,781 mi,Newtrul,$483,Newtrul,,,Click Here To View Broker,tel:+12232232233
1713910829512,Ref#,04/25/2024,,"Shorewood, IL 60404","Joplin, MO 64804",Van,Van,,,"22,046 lbs",Truckload,541 mi,Sheer Logistics,$334,Sheer Logistics,,blake.siegfried@sheerlogistics.com,Sheer Logistics,tel:+13149323632
1713910829354,Ref#,05/02/2024,,"Milwaukie, OR 97222","Dinuba, CA 93618",Reefer,Reefer,,,"43,547 lbs",Truckload,784 mi,Newtrul,$484,Newtrul,,,Click Here To View Broker,tel:+12232232233
1713910829017,Ref#,04/24/2024,04/25/2024,"Mexico, MO 65265","Yazoo City, MS 39194",Flatbed,Flatbed,,,"15,000 lbs",Truckload,593 mi,Hogan Logistics,$366,Hogan Logistics,,ncoser@hogan1.com,Hogan Logistics,tel:+13148025875
1713910827371,Ref#,04/26/2024,04/27/2024,"Columbia, MO 65202","Loxley, AL 36551",Reefer,Reefer,,53',"25,920 lbs",Truckload,775 mi,Triple T Transport,$479,Triple T Transport,,blutz@triplettransport.com,Triple T Transport,tel:+18003651723
1713910825964,Ref#,04/26/2024,04/27/2024,"Tacoma, WA 98421","Winlock, WA 98596",Van,Van,,53',"16,205 lbs",Truckload,79 mi,Grane Logistics Express,$48,Grane Logistics Express,,parade@gograne.com,Grane Logistics Express,tel:+17392269001
1713910825764,Ref#,04/25/2024,04/25/2024,"Tacoma, WA 98421","Winlock, WA 98596",Van,Van,,53',"12,300 lbs",Truckload,79 mi,Grane Logistics Express,$48,Grane Logistics Express,,parade@gograne.com,Grane Logistics Express,tel:+17392269001
1713910825009,Ref#9264643,04/24/2024,04/26/2024,"Roseburg, OR 97471","Yuma, AZ 85364",Flatbed / Step Deck,Flatbed / Step Deck,,48',"45,000 lbs",Truckload,868 mi,TQL,$536,TQL,2223295,,,"tel:+18005803101,8"
